"type","date","metrics","value"
"AQI","20181231","1",58.5
"PM10","20181231","1",62.2916666666667
"PM2.5","20181231","1",39.125
"AQI","20181231","2",57.2916666666667
"PM10","20181231","2",59.5833333333333
"PM2.5","20181231","2",38.2083333333333
"AQI","20181231","3",58.1666666666667
"PM10","20181231","3",59.4761904761905
"PM2.5","20181231","3",41.0416666666667
"AQI","20181231","4",62.625
"PM10","20181231","4",67.6086956521739
"PM2.5","20181231","4",42.875
"AQI","20181231","5",58.0416666666667
"PM10","20181231","5",68.7916666666667
"PM2.5","20181231","5",38.7083333333333
"AQI","20181231","6",62.9166666666667
"PM10","20181231","6",70.0833333333333
"PM2.5","20181231","6",41.375
"AQI","20181231","7",53.125
"PM10","20181231","7",59.625
"PM2.5","20181231","7",32.125
"AQI","20181231","8",72.3636363636364
"PM10","20181231","8",94.2272727272727
"PM2.5","20181231","8",33.4545454545455
"AQI","20181231","10",61.625
"PM10","20181231","10",71.6666666666667
"PM2.5","20181231","10",37
"AQI","20181231","11",56.7083333333333
"PM10","20181231","11",56.75
"PM2.5","20181231","11",37.375
"AQI","20181231","12",54.7083333333333
"PM10","20181231","12",51.8333333333333
"PM2.5","20181231","12",36.6666666666667
"AQI","20181231","13",65.9583333333333
"PM10","20181231","13",76.9583333333333
"PM2.5","20181231","13",40.1666666666667
"AQI","20181231","14",79.25
"PM10","20181231","14",104.166666666667
"PM2.5","20181231","14",47.9583333333333
"AQI","20181231","15",71.0416666666667
"PM10","20181231","15",81.9583333333333
"PM2.5","20181231","15",43.9583333333333
"AQI","20181231","16",69.1666666666667
"PM10","20181231","16",75.2916666666667
"PM2.5","20181231","16",44.7083333333333
"AQI","20181231","17",49.4347826086956
"PM10","20181231","17",52.4347826086956
"PM2.5","20181231","17",34.0434782608696
"AQI","20181231","18",56.4583333333333
"PM10","20181231","18",57.875
"PM2.5","20181231","18",36.6666666666667
"AQI","20181231","19",55.625
"PM10","20181231","19",53.0909090909091
"PM2.5","20181231","19",38.4166666666667
"AQI","20181231","20",44.0869565217391
"PM10","20181231","20",39.8666666666667
"PM2.5","20181231","20",31.304347826087
"AQI","20181231","21",38.7083333333333
"PM10","20181231","21",36.5
"PM2.5","20181231","21",26.125
"AQI","20181231","22",42.7083333333333
"PM10","20181231","22",42.9583333333333
"PM2.5","20181231","22",26.6666666666667
"AQI","20181231","23",68.3333333333333
"PM10","20181231","23",71.4583333333333
"PM2.5","20181231","23",49.25
"AQI","20181231","24",73.4583333333333
"PM10","20181231","24",93.5217391304348
"PM2.5","20181231","24",35.3333333333333
"AQI","20181231","25",62.875
"PM10","20181231","25",73.4166666666667
"PM2.5","20181231","25",37.875
"AQI","20181231","26",35.7916666666667
"PM10","20181231","26",34.8333333333333
"PM2.5","20181231","26",24.875
"AQI","20181231","27",45.4583333333333
"PM10","20181231","27",42.0869565217391
"PM2.5","20181231","27",29.4583333333333
"AQI","20181231","28",114.217391304348
"PM10","20181231","28",103.318181818182
"PM2.5","20181231","28",86.5217391304348
"AQI","20181231","29",106.125
"PM10","20181231","29",127.454545454545
"PM2.5","20181231","29",78.8333333333333
"AQI","20181231","30",75.625
"PM10","20181231","30",86.7916666666667
"PM2.5","20181231","30",53.75
"AQI","20181231","31",57.5833333333333
"PM10","20181231","31",54.6086956521739
"PM2.5","20181231","31",41.125
"AQI","20181231","32",58.5
"PM10","20181231","32",58.125
"PM2.5","20181231","32",41.875
"AQI","20181231","33",56.9166666666667
"PM10","20181231","33",59.5833333333333
"PM2.5","20181231","33",39.2083333333333
"AQI","20181231","34",69.75
"PM10","20181231","34",88.0833333333333
"PM2.5","20181231","34",44.8333333333333
"AQI","20181231","35",67.1666666666667
"PM10","20181231","35",82.2083333333333
"PM2.5","20181231","35",42.7916666666667
"AQI","20181230","1",28.25
"PM10","20181230","1",27.9166666666667
"PM2.5","20181230","1",12.625
"AQI","20181230","2",29.625
"PM10","20181230","2",28.2173913043478
"PM2.5","20181230","2",11.9166666666667
"AQI","20181230","3",26.4166666666667
"PM10","20181230","3",26.3478260869565
"PM2.5","20181230","3",12.625
"AQI","20181230","4",30
"PM10","20181230","4",29.875
"PM2.5","20181230","4",14.125
"AQI","20181230","5",48.7916666666667
"PM10","20181230","5",56.5416666666667
"PM2.5","20181230","5",14.125
"AQI","20181230","6",31.25
"PM10","20181230","6",30.6363636363636
"PM2.5","20181230","6",14.7083333333333
"AQI","20181230","7",36.7916666666667
"PM10","20181230","7",37
"PM2.5","20181230","7",15.9166666666667
"AQI","20181230","8",55.304347826087
"PM10","20181230","8",64.4782608695652
"PM2.5","20181230","8",19.1739130434783
"AQI","20181230","10",33.3333333333333
"PM10","20181230","10",35.4166666666667
"PM2.5","20181230","10",16.875
"AQI","20181230","11",32.5
"PM10","20181230","11",34.3636363636364
"PM2.5","20181230","11",16.375
"AQI","20181230","12",33.375
"PM10","20181230","12",36
"PM2.5","20181230","12",16.5
"AQI","20181230","13",47.7916666666667
"PM10","20181230","13",52.5833333333333
"PM2.5","20181230","13",20.25
"AQI","20181230","14",58.6666666666667
"PM10","20181230","14",76
"PM2.5","20181230","14",20
"AQI","20181230","15",38.5416666666667
"PM10","20181230","15",40.25
"PM2.5","20181230","15",12.9583333333333
"AQI","20181230","16",27.4166666666667
"PM10","20181230","16",27.2083333333333
"PM2.5","20181230","16",9.91666666666667
"AQI","20181230","17",26.9130434782609
"PM10","20181230","17",24.6818181818182
"PM2.5","20181230","17",11.9565217391304
"AQI","20181230","18",42.5416666666667
"PM10","20181230","18",41
"PM2.5","20181230","18",19.4166666666667
"AQI","20181230","19",42.304347826087
"PM10","20181230","19",46.695652173913
"PM2.5","20181230","19",18.0869565217391
"AQI","20181230","20",27.0833333333333
"PM10","20181230","20",23.2222222222222
"PM2.5","20181230","20",15.7083333333333
"AQI","20181230","21",20.8333333333333
"PM10","20181230","21",17.3478260869565
"PM2.5","20181230","21",10.2083333333333
"AQI","20181230","22",25.2857142857143
"PM10","20181230","22",26.2777777777778
"PM2.5","20181230","22",9.57142857142857
"AQI","20181230","23",60.0416666666667
"PM10","20181230","23",66.625
"PM2.5","20181230","23",39
"AQI","20181230","24",39.625
"PM10","20181230","24",42.0416666666667
"PM2.5","20181230","24",15.9166666666667
"AQI","20181230","25",52.7916666666667
"PM10","20181230","25",58.5
"PM2.5","20181230","25",25.5
"AQI","20181230","26",21.625
"PM10","20181230","26",14.5882352941176
"PM2.5","20181230","26",8.375
"AQI","20181230","27",21.9166666666667
"PM10","20181230","27",14.4736842105263
"PM2.5","20181230","27",11.4782608695652
"AQI","20181230","28",48.7916666666667
"PM10","20181230","28",63.1
"PM2.5","20181230","28",30.5833333333333
"AQI","20181230","29",50.0833333333333
"PM10","20181230","29",57.0833333333333
"PM2.5","20181230","29",26.3076923076923
"AQI","20181230","30",49.75
"PM10","20181230","30",55.5833333333333
"PM2.5","20181230","30",28.0833333333333
"AQI","20181230","31",30.75
"PM10","20181230","31",32.5789473684211
"PM2.5","20181230","31",14.9166666666667
"AQI","20181230","32",28.5652173913043
"PM10","20181230","32",29.6363636363636
"PM2.5","20181230","32",15.8695652173913
"AQI","20181230","33",32.4166666666667
"PM10","20181230","33",31.9090909090909
"PM2.5","20181230","33",15.4583333333333
"AQI","20181230","34",41.8695652173913
"PM10","20181230","34",44.0434782608696
"PM2.5","20181230","34",15.8260869565217
"AQI","20181230","35",39.25
"PM10","20181230","35",37.75
"PM2.5","20181230","35",14.375
"AQI","20181229","1",27.5833333333333
"PM10","20181229","1",27.5833333333333
"PM2.5","20181229","1",8.33333333333333
"AQI","20181229","2",29.8695652173913
"PM10","20181229","2",29.304347826087
"PM2.5","20181229","2",8.52173913043478
"AQI","20181229","3",25.4166666666667
"PM10","20181229","3",25.4166666666667
"PM2.5","20181229","3",7.95833333333333
"AQI","20181229","4",26.6666666666667
"PM10","20181229","4",26.6666666666667
"PM2.5","20181229","4",9.95833333333333
"AQI","20181229","5",31.25
"PM10","20181229","5",31.25
"PM2.5","20181229","5",9.08333333333333
"AQI","20181229","6",30.0416666666667
"PM10","20181229","6",30.0416666666667
"PM2.5","20181229","6",10.5416666666667
"AQI","20181229","7",30.9166666666667
"PM10","20181229","7",30.8333333333333
"PM2.5","20181229","7",8.70833333333333
"AQI","20181229","8",32.1304347826087
"PM10","20181229","8",32.8260869565217
"PM2.5","20181229","8",8.04347826086956
"AQI","20181229","10",30.25
"PM10","20181229","10",31.2083333333333
"PM2.5","20181229","10",8.95833333333333
"AQI","20181229","11",25.2608695652174
"PM10","20181229","11",23.7826086956522
"PM2.5","20181229","11",8.73913043478261
"AQI","20181229","12",26.3333333333333
"PM10","20181229","12",25.875
"PM2.5","20181229","12",10.1666666666667
"AQI","20181229","13",54.0416666666667
"PM10","20181229","13",61.5416666666667
"PM2.5","20181229","13",31.875
